HotelID,HotelName,CityID,AreaID,StarClass,NbRooms,Amenities,Daily,Reviews,PageUrl,Attractions_NearBy,Walkable_Grade
1486034,W Boston,60745,60745,4.0,238,"Restaurant,Fitness Center with Gym / Workout Room,Room service,Bar/Lounge,Spa,Banquet Room,Breakfast Available,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Paid Internet,Paid Wifi,Pets Allowed ( Dog / Pet Friendly ),Wheelchair access,Air conditioning,Minibar,Non-smoking rooms,Suites",1,"1,997 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d1486034-Reviews-W_Boston-Boston_Massachusetts.html,42,100
3225572,enVision Hotel Boston - Longwood,60745,60745,2.5,39,"Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Dry Cleaning,Laundry Service,Multilingual Staff,Non-smoking hotel,Pets Allowed ( Dog / Pet Friendly ),Wheelchair access,Air conditioning,Microwave,Refrigerator in room,Accessible rooms,Non-smoking rooms,Suites",1,684 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d3225572-Reviews-EnVision_Hotel_Boston_Longwood-Boston_Massachusetts.html,11,81
499916,The Boxer Boston,60745,60745,4.0,80,"Room service,Restaurant,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar/Lounge,Concierge,Dry Cleaning,Laundry Service,Multilingual Staff,Non-smoking hotel,Pets Allowed ( Dog / Pet Friendly ),Wheelchair access,Air conditioning,Minibar,Refrigerator in room,Non-smoking rooms,Suites",1,"1,310 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d499916-Reviews-The_Boxer_Boston-Boston_Massachusetts.html,14,100
111418,Boston Park Plaza,60745,60745,4.0,1060,"Room service,Restaurant,Fitness Center with Gym / Workout Room,Bar/Lounge,Banquet Room,Breakfast Available,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Paid Wifi,Pets Allowed ( Dog / Pet Friendly ),Public Wifi,Wheelchair access,Air conditioning,Accessible rooms,Non-smoking rooms,Suites",1,"3,485 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d111418-Reviews-Boston_Park_Plaza-Boston_Massachusetts.html,54,100
1201116,"Battery Wharf Hotel, Boston Waterfront",60745,60745,4.5,150,"Restaurant,Fitness Center with Gym / Workout Room,Bar/Lounge,Spa,Room service,Free Internet,Banquet Room,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Paid Wifi,Pets Allowed ( Dog / Pet Friendly ),Wheelchair access,Air conditioning,Non-smoking rooms,Suites",1,"1,959 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d1201116-Reviews-Battery_Wharf_Hotel_Boston_Waterfront-Boston_Massachusetts.html,17,93
94372,Boston Hotel Buckminster,60745,60745,3.0,132,"Free High Speed Internet (WiFi),Restaurant,Fitness Center with Gym / Workout Room,Breakfast Available,Business Center with Internet Access,Laundry Service,Multilingual Staff,Non-smoking hotel,Public Wifi,Self-Serve Laundry,Wheelchair access,Air conditioning,Microwave,Refrigerator in room,Non-smoking rooms,Suites",1,"1,841 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d94372-Reviews-Boston_Hotel_Buckminster-Boston_Massachusetts.html,21,100
111413,The Revolution Hotel,60745,60745,NA,NA,NA,1,NA,https://www.tripadvisor.com/Hotel_Review-g60745-d111413-Reviews-The_Revolution_Hotel-Boston_Massachusetts.html,NA,NA
120988,Hilton Boston Logan Airport,60745,60745,4.0,599,"Room service,Restaurant,Fitness Center with Gym / Workout Room,Bar/Lounge,Free Internet,Airport transportation,Banquet Room,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Heated pool,Indoor pool,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Paid Internet,Paid Wifi,Public Wifi,Shuttle Bus Service,Wheelchair access,Air conditioning,Accessible rooms,Non-smoking rooms,Suites",1,"4,007 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d120988-Reviews-Hilton_Boston_Logan_Airport-Boston_Massachusetts.html,5,58
217546,Wyndham Boston Beacon Hill,60745,60745,3.5,304,"Pool,Room service,Restaurant,Fitness Center with Gym / Workout Room,Free High Speed Internet (WiFi),Bar/Lounge,Banquet Room,Business Center with Internet Access,Concierge,Conference Facilities,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Outdoor pool,Self-Serve Laundry,Wheelchair access,Non-smoking rooms,Suites",1,"2,554 reviews",https://www.tripadvisor.com/Hotel_Review-g60745-d217546-Reviews-Wyndham_Boston_Beacon_Hill-Boston_Massachusetts.html,16,100
222958,Comfort Inn - Boston,60745,60745,3.0,132,"Free parking,Pool,Restaurant,Free High Speed Internet (WiFi),Breakfast included,Fitness Center with Gym / Workout Room,Airport transportation,Breakfast Available,Business Center with Internet Access,Dry Cleaning,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Pets Allowed ( Dog / Pet Friendly ),Self-Serve Laundry,Shuttle Bus Service,Wheelchair access,Accessible rooms,Family Rooms,Non-smoking rooms",1,344 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d222958-Reviews-Comfort_Inn_Boston-Boston_Massachusetts.html,2,40
94363,Courtyard by Marriott Boston Logan Airport,60745,60745,3.0,351,"Restaurant,Pool,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar/Lounge,Airport transportation,Banquet Room,Breakfast Available,Conference Facilities,Dry Cleaning,Indoor pool,Laundry Service,Meeting rooms,Multilingual Staff,Non-smoking hotel,Public Wifi,Self-Serve Laundry,Shuttle Bus Service,Wheelchair access,Family Rooms,Non-smoking rooms,Suites",1,873 reviews,https://www.tripadvisor.com/Hotel_Review-g60745-d94363-Reviews-Courtyard_by_Marriott_Boston_Logan_Airport-Boston_Massachusetts.html,4,45
