Hotel_ID,Area_ID,Location
1931800,60745,"14 Crestway Rd, Boston, MA 02128-1019"
7356316,60745,"Peterborough St, Boston, MA"
1640645,60745,"15 Unity St, Boston, MA 02113-1357"
15692493,60745,"28 Exeter St, Boston, MA 02116-2841"
16877569,60745,"Franklin St & Washington St, Boston, MA 02111"
9871709,60745,"336 Cornell St Unit 2, Boston, MA 02131-2803"
16670117,60745,"592 Tremont St, Boston, MA 02118-1654"
10411713,60745,"West Concord Street, Boston, MA 02118"
111421,60745,"47 Huntington Avenue, Boston, MA 02116-5728"
94371,60745,"120 Huntington Avenue, Back Bay, Boston, MA 02116-5730"
678412,60745,"606 Congress St, Boston, MA 02210-2803"
217550,60745,"821 Washington Street, Boston, MA 02111-1519"
287606,60745,"155 Portland St, Boston, MA 02114-1702"
111434,60745,"261 Newbury St, Boston, MA 02116-2402"
114149,60745,"250 Franklin St, Boston, MA 02110-2807"
1513541,60745,"1 Court St, Boston, MA 02108-2615"
7295026,60745,NA
94337,60745,"15 Beacon St, Boston, MA 02108-2902"
118441,60745,"198 W Brookline St, Boston, MA 02118-1280"
94344,60745,"3 McKinley Square, Boston, MA 02109-2609"
1467037,60745,"1 Pier 8 at the end of 13th Street, Boston, MA 02129-2017"
8145466,60745,"401 D St # 403, Boston, MA 02210-1907"
225873,60745,"655 Boylston St, Boston, MA 02116-2804"
265475,60745,"50 Burroughs St, Boston, MA 02130-4059"
320038,60745,"811 Massachusetts Avenue, Boston, MA 02118-2605"
3586744,60745,"54 Berkeley St, Boston, MA 02116-6215"
2079076,60745,"14 Union Park, Boston, MA 02118-3700"
222956,60745,"1 India St, Boston, MA 02109-3304"
1200189,60745,"3 Centre Pl, Fort Hill, Boston, MA 02119-1511"
15334761,60745,"8 Harrison Ave, Boston, MA 02111-2014"
9878099,60745,"12 Hemenway St, Boston, MA 02115-2908"
1157193,60745,"1 Devonshire Pl, Boston, MA 02109-3510"
268206,60745,"40 Trinity Pl, Boston, MA 02116-5006"
15618152,60745,"6 W Broadway, Boston, MA 02127-1016"
16639143,60745,"44 Concord Square, Boston, MA 02118-3110"
15641193,60745,"101 Canal St, Boston, MA 02114-1807"
15641223,60745,"100 Pier 4 Blvd, Boston, MA 02210-1887"
13094295,60745,"29 Temple Pl, Theatre District, Boston, MA 02111-1307"
15264230,60745,"Garrison and ST Botolph, Boston, MA 02116"
16935822,60745,"109 Strathmore Rd, Boston, MA 02135-7118"
16901250,60745,"1 Dalton St, Boston, MA 02115-3184"
6484375,60745,"221 Massachusetts Ave, Boston, MA 02115-3504"
15641186,60745,"665 Washington St, Boston, MA 02111-1636"
15640955,60745,"505 Congress St, Boston, MA 02210-2902"
15649228,60745,"1335 Boylston St, Boston, MA 02215-3940"
15641219,60745,"1330 Boylston St, Boston, MA 02215-4229"
15641204,60745,NA
15641127,60745,"120 Kingston St, Boston, MA 02111-2157"
15641102,60745,"99 Kneeland St, Boston, MA 02111-2431"
15649221,60745,"175 Blossom St, Boston, MA 02114-2622"
15647326,60745,"422 Bowdoin St, Boston, MA 02122-1826"
15637104,60745,"284 Marlborough St, Boston, MA 02116-1633"
15521011,60745,"228 Normandy St, Boston, MA 02121-3312"
16935735,60745,"Harrison Ave and Harold St, Boston, MA 02118"
